time	RMSD_R1	RMSD_R2	RMSD_R3
51.2	6.23	5.29	5.51
51.3	6.23	5.6	6.38
51.4	6.26	6.29	6.42
51.5	6.45	5.23	5.81
51.6	5.67	5.4	4.35
51.7	5.83	4.89	4.35
51.8	5.67	5.39	5.43
51.9	5.16	5.21	4.85
52.0	5.72	5.17	5.6
52.1	6.23	5.45	5.57
52.2	5.97	5.43	5.33
52.3	5.46	5.02	4.35
52.4	5.55	4.71	4.55
52.5	5.89	5.11	3.36
52.6	7.57	5.06	4.49
52.7	8.62	5.25	4.16
52.8	8.61	4.85	4.37
52.9	8.19	4.98	4.18
53.0	7.69	5.25	3.29
53.1	7.54	5.22	3.34
53.2	7.64	4.85	2.64
53.3	7.45	5.09	2.77
53.4	7.81	4.63	2.86
53.5	10.1	4.74	2.09
53.6	9.38	5.38	2.48
53.7	8.92	4.57	3.08
53.8	8.93	4.32	3.01
53.9	10.04	4.08	2.37
54.0	10.1	4.23	1.7
54.1	10.21	4.12	2.38
54.2	11.18	5.08	2.2
54.3	10.03	5.18	1.6
54.4	10.43	4.72	1.78
54.5	10.02	4.55	1.86
54.6	8.87	4.53	1.93
54.7	9.48	4.62	1.92
54.8	9.02	3.93	2.33
54.9	8.64	3.55	2.35
55.0	8.09	4.23	2.6
55.1	8.58	4.09	2.33
55.2	8.35	4.13	2.41
55.3	8.96	4.32	1.92
55.4	9.14	4.33	2.8
55.5	9.33	4.26	2.4
55.6	10.35	4.44	2.52
55.7	10.4	3.77	2.62
55.8	10.4	3.25	3.2
55.9	10.83	4.4	3.24
56.0	11.43	4.12	3.27
56.1	11.71	4.3	2.14
56.2	12.68	4.95	2.48
56.3	13.17	4.68	2.87
56.4	12.2	4.53	2.95
56.5	12.98	4.52	2.66
56.6	12.96	3.86	2.77
56.7	13.26	4.4	2.19
56.8	13.36	4.5	2.29
56.9	12.54	4.37	2.54
57.0	12.62	4.74	2.44
57.1	13.42	4.53	2.68
57.2	12.08	4.01	2.4
57.3	12.12	4.92	2.61
57.4	11.36	4.41	2.28
57.5	11.35	4.83	2.14
57.6	12.13	5.06	2.03
57.7	12.85	4.27	2.3
57.8	11.45	4.89	2.5
57.9	11.46	5.25	2.87
58.0	10.49	5.05	2.86
58.1	10.92	5.36	3.29
58.2	10.63	5.21	3.23
58.3	10.43	4.85	4.44
58.4	10.38	5.21	3.51
58.5	9.89	5.18	2.87
58.6	10.91	4.99	2.96
58.7	11.23	3.87	3.08
58.8	10.67	4.97	3.2
58.9	11.62	5.68	3.45
59.0	11.56	5.22	3.19
59.1	12.36	5.02	3.31
59.2	12.48	4.85	3.22
59.3	11.84	5.25	2.81
59.4	11.29	4.35	2.52
59.5	10.61	4.76	2.47
59.6	9.93	5.17	2.59
59.7	11.02	4.55	2.63
59.8	11.98	4.74	3.22
59.9	12.0	4.61	2.9
60.0	11.17	4.85	4.54
60.1	11.23	4.35	4.05
60.2	11.77	3.92	3.57
60.3	12.24	4.34	3.62
60.4	11.59	4.28	2.81
60.5	11.39	4.91	2.73
60.6	10.98	4.41	2.68
60.7	10.31	4.58	2.38
60.8	10.15	4.3	2.88
60.9	9.84	4.01	2.82
61.0	10.17	3.75	2.75
61.1	10.82	4.12	2.7
61.2	11.08	4.15	2.49
61.3	10.16	4.06	2.48
61.4	9.17	4.22	2.78
61.5	10.86	4.02	2.64
61.6	10.76	3.3	2.47
61.7	10.59	3.71	2.84
61.8	10.18	4.25	2.83
61.9	10.96	4.36	2.92
62.0	10.02	4.3	2.43
62.1	11.56	4.77	2.9
62.2	11.22	4.8	3.41
62.3	12.13	4.9	3.19
62.4	11.28	5.31	3.43
62.5	11.71	4.97	3.39
62.6	11.61	4.49	3.38
62.7	12.06	4.49	3.19
62.8	12.09	4.46	3.65
62.9	11.52	4.85	3.77
63.0	10.83	4.74	3.94
63.1	11.3	4.47	4.07
63.2	10.67	4.74	4.07
63.3	10.85	4.88	3.85
63.4	11.13	5.32	4.4
63.5	10.72	5.26	4.25
63.6	10.89	4.81	3.99
63.7	10.75	4.91	3.85
63.8	10.28	4.96	3.88
63.9	9.77	5.17	3.77
64.0	8.72	5.12	3.94
64.1	9.85	4.96	4.22
64.2	9.88	4.85	4.46
64.3	9.15	4.76	4.56
64.4	9.48	4.76	4.67
64.5	9.74	5.45	4.14
64.6	9.7	5.05	4.33
64.7	9.69	5.8	4.95
64.8	9.4	5.66	5.16
64.9	9.1	5.2	4.43
65.0	8.58	4.18	4.76
65.1	8.51	4.34	4.51
65.2	8.05	4.13	4.2
65.3	7.36	4.89	4.43
65.4	5.81	5.39	4.06
65.5	7.43	5.85	4.41
65.6	9.21	5.57	4.22
65.7	9.78	4.77	3.85
65.8	8.37	5.28	3.72
65.9	8.82	5.44	4.85
66.0	9.38	5.1	4.55
66.1	8.91	5.13	4.76
66.2	9.49	4.41	5.2
66.3	8.51	4.46	4.78
66.4	8.53	5.05	4.73
66.5	9.11	4.59	4.89
66.6	9.0	4.76	4.87
66.7	9.4	4.81	4.36
66.8	10.9	4.32	5.14
66.9	10.88	4.37	5.46
67.0	11.45	4.9	5.24
67.1	11.03	4.86	5.34
67.2	9.92	4.87	5.88
67.3	10.61	4.85	6.23
67.4	9.49	4.84	6.07
67.5	9.94	4.1	5.96
67.6	10.04	3.76	5.79
67.7	9.94	4.15	6.95
67.8	10.26	4.75	6.87
67.9	9.77	4.66	6.32
68.0	10.23	5.06	6.19
68.1	10.94	4.69	6.21
68.2	10.8	4.59	6.51
68.3	10.31	5.07	7.21
68.4	11.34	4.48	6.82
68.5	11.13	4.4	6.87
68.6	11.75	4.68	6.83
68.7	11.45	4.68	6.26
68.8	11.13	4.49	5.99
68.9	11.56	4.28	5.74
69.0	10.96	4.65	5.22
69.1	11.58	4.73	5.57
69.2	11.17	5.15	5.26
69.3	11.81	4.91	5.5
69.4	12.16	5.14	5.43
69.5	12.93	4.43	5.68
69.6	12.43	4.06	5.4
69.7	12.47	4.04	5.94
69.8	12.25	4.32	6.09
69.9	12.52	3.84	6.88
70.0	12.59	3.53	7.29
70.1	12.6	3.57	6.45
70.2	12.28	3.85	6.91
70.3	11.89	4.12	5.92
70.4	11.15	4.49	5.66
70.5	11.57	4.45	5.9
70.6	10.57	4.14	6.0
70.7	9.77	4.56	6.37
70.8	9.53	4.99	6.11
70.9	10.08	5.05	6.6
71.0	11.1	4.63	6.59
71.1	11.52	4.71	7.1
71.2	11.25	5.25	6.78
71.3	10.2	5.17	6.3
71.4	10.46	5.2	5.94
71.5	10.79	4.88	6.33
71.6	11.29	4.54	6.91
71.7	11.57	5.21	7.29
71.8	11.72	4.49	6.73
71.9	11.72	5.0	6.98
72.0	10.48	5.26	6.67
72.1	10.14	5.11	6.43
72.2	10.57	5.09	6.37
72.3	11.23	5.19	6.49
72.4	11.78	4.45	6.63
72.5	12.31	4.14	5.3
72.6	11.6	5.01	5.11
72.7	11.6	4.63	5.93
72.8	10.56	4.72	5.67
72.9	10.09	4.99	4.57
73.0	10.23	4.76	5.25
73.1	9.59	4.21	5.79
73.2	9.81	3.97	6.08
73.3	9.57	3.83	5.36
73.4	10.21	4.19	5.93
73.5	9.8	4.92	5.69
73.6	10.36	4.95	5.94
73.7	10.58	5.45	5.85
73.8	10.69	5.55	5.83
73.9	10.93	5.51	6.11
74.0	11.29	4.49	6.44
74.1	11.61	4.31	5.11
74.2	11.24	5.16	5.16
74.3	11.2	4.67	5.31
74.4	10.52	4.78	5.72
74.5	10.34	4.16	5.48
74.6	10.53	4.21	5.63
74.7	10.52	4.97	5.73
74.8	10.14	4.69	6.01
74.9	10.57	4.57	6.12
75.0	10.41	4.93	7.62
75.1	9.91	5.15	6.7
75.2	10.86	5.06	6.93
75.3	11.13	4.62	6.26
75.4	11.26	4.69	6.7
75.5	12.57	4.41	5.28
75.6	11.69	4.32	6.18
75.7	11.91	4.12	6.22
75.8	11.48	3.95	7.06
75.9	10.91	4.32	6.74
76.0	11.15	4.72	5.67
76.1	11.23	4.42	5.57
76.2	11.49	4.92	6.05
76.3	11.36	4.4	6.31
76.4	11.53	4.07	5.8
76.5	11.86	4.29	6.02
76.6	11.2	4.49	6.43
76.7	11.69	4.66	6.09
76.8	12.21	4.9	6.2
76.9	12.88	4.76	6.29
77.0	12.26	4.74	5.8
77.1	12.97	4.67	5.94
77.2	11.81	5.47	6.49
77.3	11.76	4.6	5.78
77.4	12.4	4.69	6.33
77.5	12.57	4.96	5.98
77.6	11.93	4.56	5.74
77.7	11.38	5.29	5.1
77.8	9.69	4.91	5.49
77.9	9.34	5.2	6.49
78.0	8.96	4.8	6.72
78.1	9.0	4.4	5.89
78.2	7.83	4.73	4.95
78.3	8.62	5.27	5.63
78.4	10.08	4.57	5.88
78.5	9.22	4.26	6.14
78.6	9.95	4.69	5.51
78.7	9.61	4.7	4.44
78.8	9.35	4.99	4.44
78.9	8.49	5.2	5.58
79.0	9.21	5.19	5.34
79.1	9.79	5.31	4.94
79.2	10.12	4.94	4.52
79.3	9.96	4.59	5.15
79.4	9.49	5.16	4.39
79.5	8.53	4.74	3.64
79.6	9.62	4.12	3.63
79.7	9.2	4.71	3.55
79.8	10.25	4.35	3.53
79.9	9.73	4.25	3.66
80.0	9.37	4.4	3.89
80.1	9.64	4.47	3.18
80.2	9.53	4.72	3.03
80.3	9.81	4.48	3.49
80.4	9.26	4.35	2.9
80.5	9.18	4.03	3.19
80.6	9.26	4.21	3.53
80.7	10.29	4.14	3.54
80.8	10.28	4.4	3.41
80.9	10.81	4.15	2.42
81.0	9.9	3.88	2.76
81.1	10.47	4.34	3.31
81.2	9.9	4.05	2.69
81.3	10.45	3.9	3.1
81.4	10.76	3.55	2.9
81.5	11.24	3.44	2.73
81.6	11.94	3.07	3.47
81.7	11.19	3.29	3.43
81.8	10.55	3.76	2.31
81.9	12.03	3.65	2.39
82.0	11.37	3.44	2.46
82.1	11.57	3.44	2.51
82.2	10.19	3.14	2.69
82.3	10.44	3.6	2.7
82.4	10.44	3.86	2.52
82.5	10.11	3.7	3.32
82.6	9.91	3.73	3.05
82.7	10.18	3.72	2.52
82.8	9.99	3.39	2.61
82.9	10.71	4.24	2.67
83.0	10.47	3.53	2.31
83.1	10.44	3.55	3.11
83.2	10.36	3.94	2.88
83.3	10.42	4.48	2.89
83.4	10.66	3.92	2.12
83.5	11.0	3.69	2.77
83.6	10.64	3.69	2.39
83.7	10.41	4.34	2.3
83.8	10.85	4.04	2.29
83.9	10.72	4.46	2.27
84.0	10.56	4.27	2.62
84.1	10.0	4.76	2.7
84.2	10.25	3.88	2.49
84.3	9.97	3.28	2.4
84.4	10.48	2.93	2.5
84.5	11.05	3.79	3.08
84.6	10.37	3.05	2.22
84.7	10.29	3.69	1.77
84.8	9.96	3.64	2.8
84.9	11.06	3.75	2.78
85.0	11.57	4.3	2.48
85.1	11.47	3.66	2.64
85.2	10.97	3.73	2.73
85.3	11.29	3.86	2.44
85.4	11.34	4.31	2.42
85.5	10.97	3.31	1.82
85.6	11.38	3.61	2.52
85.7	11.24	4.39	3.07
85.8	11.41	3.21	2.84
85.9	11.19	4.21	2.68
86.0	9.98	4.14	2.17
86.1	10.46	3.81	1.69
86.2	10.05	3.72	2.17
86.3	11.23	3.65	2.19
86.4	11.93	4.2	2.28
86.5	10.88	4.17	3.44
86.6	11.04	4.04	3.22
86.7	11.7	3.66	2.82
86.8	11.91	3.54	2.52
86.9	11.98	3.43	2.65
87.0	12.41	3.4	2.7
87.1	12.66	3.48	3.33
87.2	12.4	3.53	3.77
87.3	12.68	3.64	3.8
87.4	12.74	3.89	3.49
87.5	12.87	4.38	3.3
87.6	13.28	4.2	3.32
87.7	13.31	4.26	2.94
87.8	12.96	3.73	3.15
87.9	13.31	3.84	4.24
88.0	13.31	3.77	3.39
88.1	13.59	3.68	3.44
88.2	12.16	4.62	3.16
88.3	12.63	3.27	3.23
88.4	12.34	3.3	3.58
88.5	12.49	3.51	3.67
88.6	12.3	2.84	3.98
88.7	12.28	2.46	3.57
88.8	12.85	2.55	3.43
88.9	12.88	2.75	3.41
89.0	12.96	3.03	3.6
89.1	12.27	3.91	3.64
89.2	12.65	4.36	2.7
89.3	12.92	4.2	2.74
89.4	12.75	3.74	3.96
89.5	12.76	3.48	3.9
89.6	12.72	3.6	3.44
89.7	12.91	3.74	3.53
89.8	12.96	3.78	4.04
89.9	12.46	4.41	3.89
90.0	13.25	4.15	2.39
90.1	13.17	3.79	2.68
90.2	12.79	4.36	2.56
90.3	12.86	4.49	2.81
90.4	12.94	3.48	3.56
90.5	12.57	4.36	3.72
90.6	12.98	4.27	4.64
90.7	12.6	3.74	5.34
90.8	12.85	3.68	5.7
90.9	12.81	3.65	4.97
91.0	12.91	4.0	4.34
91.1	12.57	3.81	4.06
91.2	12.75	3.71	3.79
91.3	12.76	3.57	2.95
91.4	13.28	4.07	2.33
91.5	13.31	3.67	2.72
91.6	13.24	3.56	2.65
91.7	12.99	3.73	3.17
91.8	12.46	3.53	2.37
91.9	12.44	3.22	2.07
92.0	12.68	3.07	2.69
92.1	12.15	3.26	2.32
92.2	11.86	2.77	1.83
92.3	11.47	3.06	1.77
92.4	11.22	2.52	2.75
92.5	11.14	3.01	2.88
92.6	11.53	3.99	3.08
92.7	11.28	4.58	2.39
92.8	11.13	3.94	2.64
92.9	11.2	3.62	2.74
93.0	10.96	3.22	2.58
93.1	10.34	2.78	1.89
93.2	10.71	3.0	1.93
93.3	11.03	2.96	1.62
93.4	10.77	2.78	2.4
93.5	11.25	2.89	2.12
93.6	11.82	3.06	2.94
93.7	11.63	2.65	1.96
93.8	11.51	2.78	2.95
93.9	11.68	2.83	2.98
94.0	12.01	3.41	2.48
94.1	11.83	2.91	2.23
94.2	11.79	3.6	2.62
94.3	12.34	4.01	2.5
94.4	12.53	4.07	2.3
94.5	12.01	3.92	2.35
94.6	12.61	3.88	2.46
94.7	12.56	3.42	2.34
94.8	13.06	3.48	1.95
94.9	13.51	3.63	1.99
95.0	13.18	3.44	2.84
95.1	13.66	4.05	2.87
95.2	12.96	3.93	2.99
95.3	12.92	3.77	3.0
95.4	12.37	3.72	2.01
95.5	12.98	3.86	2.14
95.6	11.72	3.52	2.27
95.7	11.67	3.61	3.28
95.8	12.01	3.65	3.45
95.9	11.6	4.26	4.23
96.0	12.16	4.5	4.56
96.1	12.07	4.66	5.1
96.2	12.81	4.94	4.97
96.3	12.29	5.16	4.16
96.4	12.61	3.36	4.05
96.5	12.56	3.45	3.18
96.6	12.59	3.36	3.49
96.7	11.99	4.12	3.54
96.8	11.87	4.6	4.39
96.9	12.05	4.6	3.73
97.0	11.72	4.57	3.52
97.1	11.89	4.39	3.63
97.2	11.46	4.15	3.28
97.3	11.59	4.26	3.18
97.4	11.41	4.44	3.2
97.5	11.71	5.26	3.33
97.6	11.42	5.69	3.53
97.7	11.77	5.58	3.16
97.8	12.2	5.29	3.21
97.9	12.38	4.45	3.29
98.0	11.84	5.24	4.14
98.1	12.15	4.97	4.62
98.2	12.77	4.36	5.16
98.3	11.75	4.81	5.32
98.4	12.26	4.5	5.12
98.5	12.24	5.31	4.72
98.6	11.97	4.36	4.37
98.7	12.38	4.39	4.89
98.8	11.88	4.86	5.22
98.9	11.47	4.79	5.31
99.0	11.38	4.52	5.41
99.1	10.74	3.32	5.51
99.2	11.37	3.9	6.03
99.3	11.16	4.05	6.51
99.4	11.04	4.29	6.28
99.5	12.03	4.36	6.4
99.6	11.42	4.67	5.74
99.7	11.57	4.42	5.49
99.8	11.62	4.26	5.69
99.9	11.66	4.67	5.11
100.0	11.22	4.25	6.09
